Mother Prompt,Child Response,Raw Score,Extracted Score
that's an empty box of wipes .,ah .,3,3.0
do you want them to be her pajamas ?,yeah .,4,4.0
oh this car ?,there is car .,2,2.0
the house isn't big enough for people .,why ?,3,3.0
is he awake ?,yeah .,3,3.0
yeah it's called a tennis ball .,what's that called ?,2,2.0
that's about all Eeyore .,that's .,1,1.0
"yeah, excuse me, it sticks doesn't it .","ow, ow .",1,1.0
whose birthday is it ?,christian's .,3,3.0
funny Bunny it's a .,bunny .,4,4.0
what are you doing ?,i'm trying to help,4,4.0
there are no trees said the owl .,there is .,2,2.0
are they friends ?,friends .,3,3.0
you know on school lane ?,yeah .,3,3.0
shall we get your garage out ?,i want to play with my big garage .,3,3.0
is there room for a pussy cat .,yes there is .,4,4.0
well that's enough toys .,more toy .,1,1.0
where are you ?,behind me .,3,3.0
who are you ?,i'm .,2,2.0
what sort of sweeties .,cakes .,3,3.0
did you have a controller ?,no .,3,3.0
where you going ?,i go .,1,1.0
you broke it up again .,huh .,1,1.0
with his witchy hat on .,yeah .,2,2.0
thumb on the top .,"mummy , that ?",2,2.0
do you think it's up here ?,no .,2,2.0
you've got to treat it gently .,yes .,3,3.0
you want me to fix it ?,uhhuh .,3,3.0
we can play with that after but look at the buttons .,oh what is that ?,3,3.0
what does it look like ?,it looks like poo-poo .,1,1.0
you're very snuffily .,got a flashing light .,2,2.0
there's nothing I can do about it I'm afraid .,and do you want a .,1,1.0
don't do it again .,yeah .,2,2.0
you don't want to fall and bump your head again .,mhm .,2,2.0
"oh , watch .",h !,3,3.0
not very nice .,there's a horsie .,1,1.0
so did you play with Ewww today ?,yeah .,3,3.0
bunny rabbit hops .,bunny .,3,3.0
"no , Thomas .",this is my money box .,2,2.0
once I caught a fish alive .,a little one .,3,3.0
he was watching us with his telescope trying to see what food we had .,that's not real .,2,2.0
yeah you blow them out .,i blow em out .,4,4.0
I feel like I'm flying in a spaceship .,i'm flying a prandalol going down the spaceship .,3,3.0
are you going to sit down ?,yeah .,3,3.0
he's having it at the same place you had yours .,yeah .,3,3.0
we'll have to use this glass .,i want my glass .,2,2.0
I don't think so .,yeah .,2,2.0
why didn't you go ?,because i want to go to my bedroom .,3,3.0
should we give him some hair ?,yeah .,3,3.0
can you put them in there ?,i put mine there .,3,3.0
look at that .,that's a big puzzle .,4,4.0
and where's the other arm ?,here .,4,4.0
where is the dog food ?,right there .,4,4.0
fell on your nose .,yeah .,2,2.0
a bang bang bang .,like that .,4,4.0
you're not going to school today ?,no .,2,2.0
well I've not seen it go off at all this morning .,hey !,1,1.0
why do you think she has to eat soft food ?,but that's not a food .,2,2.0
"what do you want for tea tonight , darling ?",mm .,1,1.0
"where's the box for it , Helen ?",yeah .,1,1.0
what's he doing .,on the table .,3,3.0
at the bottom of her hair ?,yeah .,3,3.0
pull it backwards .,oh !,3,3.0
let's have a look .,we're doing lots of lovely things in the nursery .,3,3.0
what's it called then this story ?,this one is called .,2,2.0
tell him about the movie .,huh ?,1,1.0
didn't that cover match this one perfect ?,yep .,3,3.0
so where did you play with him ?,i played with him once at my house .,3,3.0
what shall we draw now then ?,that one .,3,3.0
where was that ?,i didn't get in it .,2,2.0
you think that opens ?,no .,2,2.0
well why don't you look for the piece that's got a little bit of house on ?,yes .,2,2.0
what you dream about last night anything good ?,the end .,2,2.0
that's one of the pieces from your felt game .,that's the bit i'm going to get .,4,4.0
not got to purple yet .,why ?,3,3.0
you and Daddy playing this the other night ?,yeah .,3,3.0
half a rabbit and half a teddy .,"mummy , puppy .",2,2.0
soap doesn't go in your tummy .,look .,2,2.0
that's a mirror .,i put the dolly in .,2,2.0
see how many cupcakes are there .,yyy .,1,1.0
I hope he doesn't come and eat anything in our garden .,at his garden .,2,2.0
did you think that Josh has chickenpox ?,no .,3,3.0
that was naughty doing that .,don't do that again .,2,2.0
I don't know .,is it in here ?,2,2.0
I'm not Daddy either .,xxx .,0,0.0
that one does go there .,that .,3,3.0
a square one ?,yes .,4,4.0
is the jam nice ?,more jam .,2,2.0
dogs eat and watch tv all at the same time ?,yeah .,2,2.0
you're not very interested in doing it still ?,no .,2,2.0
someone else can fit in this chair ?,no .,2,2.0
it's not raining .,is the rain going to rain ?,2,2.0
this is the farmer .,he is the farmer .,3,3.0
you've eaten a few cornflakes and that's not going to see you .,watch .,2,2.0
and what's that ?,a spider .,4,4.0
and probably bird food if they had a chance .,mhm,2,2.0
what am I talking about ?,yes .,3,3.0
the Beehive and the park ?,yeah .,3,3.0
have you finished now on that potty ?,yes .,4,4.0
they must have a system .,constem .,2,2.0
why would you be in a grumpy mood ?,i want to show you secret thing .,2,2.0
or an ice lolly .,yes .,4,4.0
in a Bisto tin .,in a what ?,3,3.0
oh I can't .,no .,2,2.0
I thought you were .,mhm .,2,2.0
you've got more than two .,where's my .,2,2.0
coming over the bridge ?,yes .,4,4.0
in the tent .,in the tent .,3,3.0
you've seen Elaine though .,he's gone to work .,3,3.0
I'm just going to have a listen .,yeah .,3,3.0
your new one ?,yeah .,3,3.0
did you think of anything special ?,no .,2,2.0
what kind of elephant's that ?,black .,3,3.0
"Andy liked them as well , didn't he ?",yeah .,3,3.0
is that the wall ?,yeah .,3,3.0
I want to see what happens at the end .,mummy a .,2,2.0
whatcha going to put in there ?,uhuh .,1,1.0
where's the pillow ?,i don't know .,2,2.0
oh are you putting them away ?,away away .,3,3.0
well there's a garden shed full of tools .,he's going to lift the silly,2,2.0
we get very .,and you say what's the front of that ?,1,1.0
I'm going to erase you .,i want to .  guns .,2,2.0
shall we go and do our teeth ?,no .,2,2.0
it looks like a pizza .,yeah .,3,3.0
I can't hear you if you whisper .,sorry .,4,4.0
do you have any idea ?,yes .,3,3.0
shall Mummy put hers on ?,yeah .,4,4.0
do you remember what those are called ?,magnet forms .,3,3.0
it wasn't from the sweet .,not the sweet .,3,3.0
what are he doing on the computer .,door .,0,0.0
what do you say ?,yes please .,3,3.0
you got it .,i want a wee wee .,1,1.0
Fraser cheeky boy !,no !,1,1.0
where's he jumping into ?,under the water .,3,3.0
"tell them to slow down , Fraser .",no .,2,2.0
and who's that ?,me .,2,2.0
you want the tv on ?,yyy .,2,2.0
look put it like this .,oh .,3,3.0
"oh , Postman Pat !",postman pat .,4,4.0
now I think they need a field .,they not need field .,2,2.0
and then somebody might get a bad booboo .,okay .,1,1.0
that doesn't eat dollys .,ow .,2,2.0
give her Pooh Bear as well please .,there .,2,2.0
with the washing machine .,yeah .,2,2.0
what are you doing ?,it's my .,2,2.0
who's that on the bike there ?,bike .,2,2.0
but what work are you going to do ?,what work are we going to do ?,2,2.0
"that one looks like Firstname, yeah .",that one does .,4,4.0
well you better cry then .,do .,2,2.0
Firstname I'm a little bit concerned about something .,what's that ?,3,3.0
that's enough though .,what one ?,2,2.0
Lina did you jump .,no .,2,2.0
where'd we go ?,yes .,0,0.0
but you look at what you have to see if you have any that match .,yeah .,3,3.0
there's his hat .,yeah .,3,3.0
another space that's it .,and another space one .,3,3.0
a big crash and a bash .,yes .,2,2.0
so what should Teddy be wearing ?,a dress .,2,2.0
"Winnie the Pooh , where are you ?",i'm .,1,1.0
that's for you .,i go .,2,2.0
you wouldn't know .,my birthday .,2,2.0
these are pretty big turtles .,whoa .,3,3.0
that's part of it .,what part of it .,3,3.0
you want to lie down ?,mhm .,4,4.0
then you'll both have to stay home at the same time .,with daddy .,4,4.0
there you go .,oh dear .,2,2.0
do you know what ?,what ?,3,3.0
yup you do that one .,no .,1,1.0
Dora fell and then the unicorn fell .,yeah .,2,2.0
what are you laughing at giggly head ?,me a cheeky look .,2,2.0
what are you going to do with the village ?,i'm going to get it .,2,2.0
is it just sitting there .,yeah .,3,3.0
who are you ?,i'm bella .,4,4.0
he's like a snowman .,like a snowman .,2,2.0
are you coming in Postman Pat ?,yes .,4,4.0
"you haven't made your pies yet , have you ?",yes .,2,2.0
there you are .,thank you .,4,4.0
she says hummusara and bread .,hummus !,4,4.0
want to see if Christopher can come ?,yes .,4,4.0
what is your idea ?,i'm going to make something in a waffle .,3,3.0
it's her ears .,mummy's ears .,4,4.0
just the Bob the Builder one .,yeah .,3,3.0
are you teaching me .,i don't know how to do a funny face .,1,1.0
what are you making there ?,nothing .,2,2.0
"no, not until you learn not to touch .",one more .,2,2.0
"we'll put the baby away and then we'll start , and then all of that stuff , but you keep swimming with the big sister for a second .",hi,0,0.0
the fleece coming off the wool when they sheared the sheep .,a cow .,1,1.0
well we'll throw it away .,no .,2,2.0
sit on your chair now please .,yum .,2,2.0
it's grandpa Eli .,grandpa .,4,4.0
it says count the fish in the picture .,one .,2,2.0
grandma makes that .,what ?,2,2.0
gritting teeth together look .,yeah .,2,2.0
you want to roll ?,roll .,2,2.0
do you know what this is ?,that's .,3,3.0
watch out for the traffic lights .,bee bee .,2,2.0
Winnie the Pooh .,winnie the pooh .,4,4.0
you want to watch Maisy ?,yeah .,4,4.0
get the bus and show me where they go .,these ?,3,3.0
there he is .,i want .,2,2.0
how did you spread the butter ?,in my bowl .,3,3.0
well I was going to try and make the word Thomas .,boo .,1,1.0
you will fall down if you let go .,ah .,2,2.0
can you fly ?,mhm .,2,2.0
then he nibbled a hole in the .,cocoon .,4,4.0
well we got a long time to wait for fireworks again .,yes .,3,3.0
you can turn the sausage into spicy rice ?,yes .,3,3.0
chop chop chop .,yes .,2,2.0
I don't think it's going to fit .,like that ?,3,3.0
take the knot out .,what's this one ?,3,3.0
which one of those ?,that one .,4,4.0
yeah we could put it there .,okay .,4,4.0
there you are .,oh .,3,3.0
"okay, I'll take that one .",i go get .,2,2.0
want some more syrup ?,yes .,4,4.0
there we are .,i'm tired .,3,3.0
"it'll go everywhere , willn't it ?",no thanks .,2,2.0
I knocked it down .,i knock it down .,2,2.0
pop that on the floor for me .,not yet .,3,3.0
very good Sean .,very good .,3,3.0
you'll never find it in there .,that's my telescope .,3,3.0
it was all into little pieces .,that's enough .,2,2.0
slimy as a slug ?,mhm .,3,3.0
I've just brought the lego in .,another bridge .,3,3.0
you're not sitting down lookin at the pictures this time .,i want to make a picture .,2,2.0
and who else ?,me .,3,3.0
can you draw in this magazine please .,i've drawn there .,2,2.0
but shall I go and get the hairbrush and then shut the door straight away ?,i want to make some .,2,2.0
who can play hopscotch ?,", her .",2,2.0
you want to call Aunt Barb on the phone ?,yeah !,4,4.0
where's the water ?,right there .,3,3.0
"oh, well we'll have to read it the next time we go to the zoo .","oh, elephants .",4,4.0
what color is it ?,no .,1,1.0
all diddly done .,oh .,2,2.0
is your nose running ?,yeah .,3,3.0
she's not there no .,oh .,3,3.0
now you hear me ?,i don't know .,2,2.0
I don't think you should do that .,it's a .,2,2.0
that's a chocolate one .,yeah .,3,3.0
what leg is that ?,leg .,1,1.0
but I mean where on your head ?,yeah .,1,1.0
would you like some cereal ?,what ?,2,2.0
he doesn't play with these guys because he's from a different planet .,what's,2,2.0
could you mix them up ?,yeah .,3,3.0
where's the rest gone ?,more .,2,2.0
bring it here and I'll do it for you .,do it .,2,2.0
where has the pencil gone ?,a not gone .,2,2.0
are you writing or are you drawing ?,no .,2,2.0
"well , I will when I'm coming to the shop .",what ?,2,2.0
vroom vroom a Daddy .,vroom vroom .,3,3.0
the lion's on the wall .,see .,3,3.0
"okay, let's do the next one .",a crab .,4,4.0
does it look like the kind we eat or does it look like the kind we use for decoration .,the skin on .  the skin on .,2,2.0
that's the little girl train .,the big girl .,3,3.0
and were they dancing ?,yeah .,3,3.0
I don't want him to get it .,that one .,3,3.0
this is our picnic .,we going .,2,2.0
long tunnel huh ?,oh mom want to see something funny ?,2,2.0
it's just Dada just sit up .,no .,2,2.0
and who else is in Shrek ?,awww .,1,1.0
I'm going to play with this .,no .,1,1.0
look you've only got two left haven't you ?,yeah .,3,3.0
in the other room .,oh .,3,3.0
"oh he's lovely , isn't he ?",daddy have a car .,2,2.0
you've never said that before .,oh .,2,2.0
what am I ?,you .,3,3.0
they won't go to sleep or are you putting them to bed ?,yeah .,3,3.0
juice on the eggs ?,yeah .,3,3.0
do you want me to help you with your buttons ?,yeah .,4,4.0
zzz but there isn't anything in here .,no .,2,2.0
well you want .,no i want to put two in,2,2.0
what's she called ?,i don't know .,2,2.0
and Spot yeah .,spot .,3,3.0
what do you want to do ?,"oh dear , nina .",2,2.0
it has to go under .,under .,3,3.0
yes you know where the tv is .,the tv is ?,2,2.0
oh look it's snowing Eleanor .,where the bird ?,2,2.0
he's going to drive it .,yes .,3,3.0
we haven't done this for ages .,but i .,2,2.0
because you'll break it otherwise .,it's nice .,2,2.0
what about that one ?,yeah .,3,3.0
okay well tell him what happened .,what happened .,2,2.0
I am having a sleep now I've had my bottle .,mhm .,3,3.0
have you lost your baby ?,that's my .,2,2.0
are they not for me ?,yeah .,2,2.0
and they've pulled that down .,why ?,3,3.0
you've just made it up .,i want to draw on the carpet .,1,1.0
mummy did it .,"mummy got apple juice , mummy .",3,3.0
what did we buy Andy in the shop at the weekend ?,got strawberry too .,3,3.0
"what , Moo ?",he moo .,3,3.0
not only is it not informative it's mean .,what is that ?,2,2.0
okay those are cute .,bath .,2,2.0
did she not want to play with Lwww ?,yeah .,3,3.0
daddy's going to look after you today .,when i get dress .,3,3.0
what color's that one ?,yellow .,4,4.0
what do you say then ?,thank you .,4,4.0
"behind the wheel , is he ?",yes .,4,4.0
"which way does it go , Thomas ?",that way .,3,3.0
"do you know at nursery , Helen ?",you have to open these boxes .,2,2.0
it's a cracker .,uhs kitty eating kitty ?,2,2.0
do you want another one out of the box ?,yeah .,4,4.0
that's the roof where the water comes over .,cake,0,0.0
can you put the people in the house .,the people in the house .,1,1.0
are you tired ?,yeah .,4,4.0
now you pull it across .,mum .,2,2.0
try it again .,this is .,2,2.0
so we're both out .,i want to go .,3,3.0
do they like to make a big string out of it ?,yeah .,3,3.0
do you like it ?,no .,2,2.0
"thank you , Gina .",it's not ready yet .,2,2.0
it's a three .,three .,3,3.0
oh touch your hips ?,now this is going to be for the toy .,2,2.0
Mummy thought she could hear a buzzing sound .,buzzing .,4,4.0
who walks out through the back door ?,cat .,3,3.0
do you think there's going to be a chicken in there ?,yeah .,3,3.0
she's not attacking you .,no .,3,3.0
that's where the little boy and the little girl and the baby sleep .,in there .,3,3.0
am I Dave .,no you're .,3,3.0
you put his hat back on .,he's going to fly to you .,3,3.0
what fell off ?,my put that thing in the pocket .,3,3.0
near your fingers .,one there .,3,3.0
do you like that cake ?,yeah .,3,3.0
and you need to leave a space .,yeah .,3,3.0
he has seen a fox .,a mummy fox .,3,3.0
"a piece paper , huh ?",huh .,2,2.0
doesn't it feel nice ?,yeah .,3,3.0
you have got a baby pony somewhere .,baby pony .,3,3.0
she's going to put her purse and bag outside .,huh ?,2,2.0
"look , what's that dog eating ?",dog .,2,2.0
what does Daddy sing to you ?,huh ?,2,2.0
but not all the time .,nin nin .,0,0.0
and Goldilocks was there .,yeah .,3,3.0
I think you've done it .,done it .,2,2.0
you can throw a ball .,momma .,2,2.0
the nail cutters are here .,you want it .,2,2.0
draw another one and it could be a big one like a bangle .,more bang .,2,2.0
you've put it on .,yeah .,3,3.0
I know they sound like they're having lots of fun out there .,lots .,3,3.0
you want to pick her up ?,yeah .,4,4.0
shall we see if tea's ready ?,yeah .,3,3.0
who can deliver the newspaper ?,", firstname .",2,2.0
side to side .,side to side .,4,4.0
some more there .,yeah .,3,3.0
can you talk what was Mateo's favorite word .,i don't know .,2,2.0
and a puck ?,oh .,2,2.0
now did you get to pick from the quiet pile yesterday ?,hoo .,1,1.0
do you think she'd gone to bed ?,no .,2,2.0
were you with Mrs Cwww ?,yeah .,3,3.0
well that's what you get for being silly .,my hat .,2,2.0
well if you want to jump then you have to take them off .,yeah .,3,3.0
"ooh, well these guys are special fish called eels .",i know but i'm not .,2,2.0
the doctor lives there .,where ?,3,3.0
I do not have more oatmeal .,okay .,4,4.0
the rabbit is in the envelope .,there's the animals .,2,2.0
like a big butterfly .,i'm not going to say that .,2,2.0
that's the Daddy .,he's the daddy .,4,4.0
"I don't think she wants that for dinner , does she ?",yes .,2,2.0
you're going to show it to the lady .,yeah .,3,3.0
because he could tell that you liked .,and i ate this whole thing .,2,2.0
or I've dropped .,mummy say what has gone to my kitchen .,1,1.0
but this teddy bear's .,no .,2,2.0
here's the red from pooh's shirt .,is that theet ?,2,2.0
are they both big ?,yeah .,3,3.0
she's five months old .,i'm size five .,1,1.0
shall we make up some more ?,yeah .,4,4.0
use your paper towel and take it off your finger .,why ?,"2

The child's response is understandable given the",2.0
it belongs to somebody .,i'm not jwww .,2,2.0
that goes on your left foot .,what .,2,2.0
now we can go through the toys yep .,yeah .,3,3.0
"no , you don't have gum today .",i i don't !,3,3.0
do big brothers do that a lot ?,yeah .,3,3.0
is it not from Helen ?,no .,3,3.0
and then like this .,i'm going to make a cookie .,2,2.0
what are those ?,teeth .,3,3.0
oh boy bunny you're good .,mommy .,3,3.0
"good night , Eleanor .",where's awww ?,2,2.0
how are you doing ?,what's that ?,1,1.0
because you sometimes spill your juice .,drinking .,3,3.0
what is it ?,a raincoat .,3,3.0
you don't want one after all that .,i'm a pussy cat .,1,1.0
who always does that ?,us .,3,3.0
you want Mummy to dry your hands .,no .,2,2.0
on the lily pads ?,yeah .,4,4.0
I think it looks lovely .,mummy .,3,3.0
you went to playgroup yesterday .,mummy .,2,2.0
and who are these two ?,the horses .,4,4.0
are they dangerous ?,yeah .,2,2.0
an old-fashioned upstairs airplane .,up there .,3,3.0
he's eating in his car yes .,car .,4,4.0
your chair isn't it .,yes .,3,3.0
I think what we needta do in a moment is put the waterwheel in the big white box .,what this ?,2,2.0
"they're only green or grey , Thomas .",hm ?,2,2.0
you have some .,no i want to keep that and that .,2,2.0
"what are you babbling about , Fraser ?",oh mickey .,2,2.0
most of these things look awfully angry .,yyy .,1,1.0
you just asked me to do you want .,what ?,2,2.0
who turned the oven on ?,i didn't .,3,3.0
can you tell me what kind of stuff we got for the farm ?,"i have some food, mommy .",2,2.0
we thought it might replace that bit that'd got lost .,do we have to repaired it ?,3,3.0
"what do you see back there, girlfriend ?",a sun .,3,3.0
oh we've been taking the decorations down .,yeah .,2,2.0
"want to call , well , Dada's not there anymore .","hey , dad .",3,3.0
that's very dark purple .,dark purple ?,3,3.0
Christmas morning is here and the friends all appear .,hello .,2,2.0
scruffy Teddy's book of colors .,how does it go ?,2,2.0
and one sausage .,one cupcake .,2,2.0
maybe he's got sore teeth like Bwww .,no .,2,2.0
yes it is .,no it isn't .,2,2.0
I'll go get some .,"mummy , come on .",3,3.0
there you go .,thank you .,4,4.0
you put your left leg ?,right here .,3,3.0
all the train bits can go in .,crash .,2,2.0
is she tired ?,yeah .,3,3.0
"cat, miaow, look where's the cat ?",the cat .,3,3.0
"right down , well he came down , and now he'll be right out .",he's in .,3,3.0
what color's that one ?,red .,4,4.0
you want to put it in there ?,mhm .,3,3.0
no Lina is two and a half .,enne go and get graeme ?,2,2.0
did you see a bird ?,yeah .,3,3.0
why do you think she got sick ?,because she is .,2,2.0
don't want the truck .,oh .,3,3.0
but who told you about the squirrels ?,the squirrel .,2,2.0
why did it want help ?,because i wanted to help him .,4,4.0
well that's one of the bags they're going to take .,no .,2,2.0
I don't know .,is there's candy in it ?,2,2.0
a drink of milk .,thanks .,4,4.0
ooh spinning spinning bird !,yeah .,2,2.0
what's a puppy do ?,do this .,0,0.0
yeah try it .,okay .,4,4.0
this is a farmer ?,no .,2,2.0
"well thank you very much , Thomas .",ta much .,2,2.0
right well I'm going to play because you're just being very very silly .,i want some breakfast .,2,2.0
keep it nice and straight !,dada make a noise !,1,1.0
I'm not hungry at the moment anyways .,please ?,2,2.0
what do we use ?,we use .,2,2.0
can I get some spaghetti ?,yeah .,3,3.0
that's not Mister fox .,that mister fox .,3,3.0
should we read this story tonight maybe ?,yup .,2,2.0
what are they ?,people .,3,3.0
because you won't let me in the house because you're mean .,i'm not a friend .,2,2.0
are they going to see Stephanie ?,no .,2,2.0
and who else ?,a bug .,3,3.0
you and Daddy went to Didsbury one Saturday morning and you went into the car .,can you tell me that ?,2,2.0
what else did you get ?,that .,2,2.0
a nice bedroom .,yeah .,2,2.0
he's all done ?,not yet .,3,3.0
you show me how you do it and I'll give you the shampoo .,you help me .,3,3.0
is it the next page ?,yeah .,4,4.0
did he bite her ?,no .,3,3.0
let's just use my fingertips for a minute .,it's .,2,2.0
and what goes in the kitchen ?,school .,0,0.0
you're chewing and you spoke .,la la la la la .,1,1.0
I can hear him .,his hands .,2,2.0
I just cut those two pieces because they were hard .,look .,2,2.0
did they give you some little plates ?,hm ?,2,2.0
that's not the middle .,a circle .,3,3.0
can you say open ?,no .,2,2.0
it's no good .,it's no good .,2,2.0
and here's your vehicle box .,thank you .,4,4.0
what color is that ?,blue .,4,4.0
you're going to make me some pizza ?,yeah .,3,3.0
oh thank you .,you welcome .,4,4.0
in a minute ?,can you ?,2,2.0
I think it's more than the fifth page but .,a shape came off .,2,2.0
because Mummy's not staying .,oh .,3,3.0
where were they going ?,pam .,2,2.0
what you doing ?,i'm looking at the book .,4,4.0
you don't want it on ?,no .,3,3.0
"oh careful , Helen .","sorry , mum .",4,4.0
does that look like Sebastian ?,yes .,4,4.0
she's got that big lollipop in her hand .,yeah .,2,2.0
does he have anything on ?,skateboard .,3,3.0
and did you want to go and watch the football with Daddy ?,yeah .,4,4.0
I like your jeans .,do you ?,3,3.0
isn't he a joker ?,yeah .,3,3.0
the door's locked .,yeah .,2,2.0
please set the table .,okay .,4,4.0
that's about cats and dogs .,i can't hear you .,1,1.0
was it you ?,yeah .,4,4.0
the skin of the mushrooms .,i have that .,2,2.0
they should be outside in the garden .,mummy .,2,2.0
looked like a giraffe .,what ?,2,2.0
oh no you put too many on .,the grandpa .,3,3.0
shall I read this ?,yeah .,4,4.0
but you liked that doggy didn't you ?,yeah .,3,3.0
so he won't knock them over .,and then i go like that .,2,2.0
you had some .,i don't like pasta .,2,2.0
alright just see .,that was the dog .,3,3.0
those are all letters of the alphabet .,no .,1,1.0
and you were playing in Tescos .,yeah .,3,3.0
what vowel says e ?,hen .,3,3.0
what was it ?,i don't know .,2,2.0
you don't scribble on your book .,what's this ?,2,2.0
one slice of swiss .,cheese .,4,4.0
is it the window ?,where is the window here ?,3,3.0
it's a bit noisy .,what's this ?,2,2.0
below his feet .,uh how come there is a cross face ?,1,1.0
are you not a present ?,no .,2,2.0
at my work .,and do you know what ?,2,2.0
"it's in two weeks time , darling .",why do i have to eat it ?,1,1.0
is your toe better now ?,yeah .,3,3.0
we just wet your hair with with water from the blue cup .,why you not going to get water on your eyes ?,2,2.0
did coffee spill on Nina yesterday ?,yeah .,3,3.0
talk to Chi .,.. .,0,0.0
I'll play with the eggs and you play with your Mom .,yeah .,3,3.0
who else could who's in the picture there being a sailor ?,daddy .,3,3.0
"almost finished doing this now , Fraser , look .",i'm going to put them away .,3,3.0
and what are these ?,shells .,4,4.0
the Bob the Builder book says B B C .,nin nin .,0,0.0
"that's water , darling .",oh dear .,2,2.0
what are those ?,ears .,3,3.0
putting the juice on his nose ?,yeah .,3,3.0
and he asked Mike for the third one but Mike would not give him the third one until Ross put the second one on the windowsill also .,so there .,2,2.0
so does she have to wear this to her hat so that you know she's a police officer ?,yeah .,3,3.0
that's what you had .,mhm .,3,3.0
hey what's that down there ?,a bulldozer .,4,4.0
London Bridge is falling down .,what's that ?,2,2.0
that's the balloon race one .,that's the balloon race one .,3,3.0
red one again .,red one .,3,3.0
does it have to be warm or cold ?,warm .,4,4.0
let me do it .,no .,2,2.0
you know that .,yeah .,2,2.0
and then when you move it like this it becomes a .,yeah .,3,3.0
why don't you leave it together ?,no .,2,2.0
the lady who used to live in this house .,yeah .,3,3.0
where could Jwww be ?,in .,2,2.0
look at the rabbit .,look the birdie .,1,1.0
you're not going to sleep ?,yeah .,2,2.0
put the cover on it .,okay .,4,4.0
isn't he Barbara ?,yeah .,3,3.0
you went gallop .,went zoom !,2,2.0
who's that then ?,that's a baby .,3,3.0
shall I do that ?,mhm .,2,2.0
are you going to makes noises into the spoon ?,to play with .,2,2.0
they're too heavy to lift up .,they too heavy .,2,2.0
did they have a picnic ?,yeah .,3,3.0
are we going to the picnic yet ?,we're going to the downtown park to ?,2,2.0
should we see if there's ?,yeah .,3,3.0
and your cheeks .,mhm .,2,2.0
it's hauling a car away .,hauls car .,3,3.0
you have your spoon Laura .,no .,2,2.0
mind you it's quite nice today because Mummy's not at work .,no .,2,2.0
will you give them some of your books ?,yes .,4,4.0
have a magnet board at home .,that's from spain .,2,2.0
are you doing the twist ?,mhm .,3,3.0
we could build home for a bunny .,hm .,2,2.0
look at this .,yyy .,1,1.0
baby cuddling her teddy .,oh .,2,2.0
ah you know what that one is .,yeah .,3,3.0
do you know ?,what ?,2,2.0
what are you talking about ?,choo choo train .,3,3.0
it's not actually a snowy day .,it is .,2,2.0
sounded like Thursday .,mm .,2,2.0
she's not moving .,that mine .,2,2.0
is that Blue's bedroom there ?,yeah .,3,3.0
bit of fluff ?,yeah .,3,3.0
they've all gone anyways .,they have .,4,4.0
there you go .,okay .,3,3.0
what color are you going to do the windows ?,dark .,3,3.0
I have the red cup .,thank you .,4,4.0
and who else ?,me !,3,3.0
that's an i .,i .,2,2.0
I think it's Grandma for Jen .,there .,2,2.0
don't you like the vacuum cleaner ?,yes .,3,3.0
she just does .,i'm a little star .,3,3.0
I don't think the cow's going to fit .,oh .,3,3.0
maybe they're playing Ring around the rosey ?,yeah .,4,4.0
no you're not a monkey .,why ?,2,2.0
pick the road grader up ?,uhoh .,2,2.0
you can't have both a dress and pants .,huh ?,2,2.0
what's she doing ?,"she's um, she's um looking for something .",3,3.0
who's going to eat the ice cream cone ?,the man is .,3,3.0
what's the matter ?,look .,2,2.0
a very hungry caterpillar .,yeah .,2,2.0
and what else ?,that's all .,2,2.0
what are they all going to do today ?,i don't know .,2,2.0
yeah it's all right .,it's got .,2,2.0
you've got a mouth full of cookie .,a another .,2,2.0
what a good dancer you are .,and what's this one ?,2,2.0
and you get whichever toy you want to play with .,no i don't .,2,2.0
she's got no feet anyway .,yeah .,3,3.0
by the handle .,where ?,3,3.0
"what , darling ?",mummy .,3,3.0
they're near you princess dress .,why ?,2,2.0
you think he wants to go with his mom and dad ?,yeah .,3,3.0
did they hurt your toes ?,yes .,3,3.0
don't do that .,mummy .,2,2.0
lots of branches that fell down in the wind .,sometimes they do come up and hide .,2,2.0
who's in this book ?,i don't know .,2,2.0
we were blown along .,leaves look come off .,2,2.0
are you sure ?,no .,2,2.0
a roly pie or a lovely pie ?,bye .,0,0.0
"it's Peter Sam , is it ?",peter sam .,4,4.0
yeah he did .,why ?,3,3.0
it doesn't open .,oh .,3,3.0
can you see those flowers in the cornfield ?,yes .,4,4.0
do we turn it around .,yeah .,3,3.0
go on then .,there's a goose .,3,3.0
not at the moment .,why ?,2,2.0
I shall see you sometime .,okay .,3,3.0
are you getting things out ?,oh .,2,2.0
"oh my goodness, look at all these guys .",that,2,2.0
one of the sisters scared the ghost away because she was so ugly .,i don't want to .,2,2.0
I love cookies .,do you like cookies ?,3,3.0
you mean Meg's mummie Irene ?,yeah .,4,4.0
yeah because I called it cat food huh ?,yup .,3,3.0
what's this Josh ?,boat .,3,3.0
Daddy said he went down the slides with you .,which one ?,4,4.0
is that his treasure chest ?,yeah .,4,4.0
well you've woken me up a few times but I don't remember you ever telling me it was a big dragon but I believe you .,it wasn't a dragon .,3,3.0
we never finished the puzzle over here with the baby bird .,daddy have get a egg ?,2,2.0
too late to say that now .,yeah .,3,3.0
are you making a tower ?,yeah .,4,4.0
what are they doing there ?,they're walking .,3,3.0
is there anything you would like to do ?,mama !,2,2.0
"you trod on a fish , did you ?",yeah .,3,3.0
wh- two yellows huh ?,huh .,2,2.0
